time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,label
2.291614,-0.3032,-0.0073,-0.3694,5.3162,1.4091,-2.781,-89.4938,-12.0375,-19.3688,
2.306952,-0.3032,-0.0073,-0.3694,3.6884,1.4801,-2.0902,-89.4938,-12.0375,-19.3688,
2.329639,-0.3696,0.0376,-0.5619,3.6884,1.4801,-2.0902,-89.4938,-12.0375,-19.3688,
2.332277,-0.5096,0.0599,-0.697,3.6884,1.4801,-2.0902,-89.4938,-12.0375,-19.3688,
2.346835,-0.5841,0.0718,-0.75,3.6884,1.4801,-2.0902,-89.4938,-12.0375,-19.3688,
2.351322,-0.5841,0.0718,-0.75,3.6884,1.4801,-2.0902,-89.4938,-12.0375,-19.3688,
2.355671,-0.5841,0.0718,-0.75,3.6884,1.4801,-2.0902,-89.475,-12.2625,-19.875,
2.383181,-0.6032,0.0887,-0.7766,3.6884,1.4801,-2.0902,-89.475,-12.2625,-19.875,
2.38618,-0.6032,0.0887,-0.7766,1.1916,0.7491,-0.7101,-89.475,-12.2625,-19.875,
2.3972,-0.5902,0.1011,-0.8228,1.1916,0.7491,-0.7101,-89.475,-12.2625,-19.875,
2.402057,-0.5902,0.1011,-0.8228,1.1916,0.7491,-0.7101,-89.475,-12.2625,-19.875,
2.403848,-0.5218,0.109,-0.8509,1.1916,0.7491,-0.7101,-89.475,-12.2625,-19.875,
2.415423,-0.5218,0.109,-0.8509,1.1916,0.7491,-0.7101,-89.4,-12.3563,-19.9875,
2.439762,-0.451,0.0806,-0.8115,1.1916,0.7491,-0.7101,-89.4,-12.3563,-19.9875,
2.441622,-0.451,0.0806,-0.8115,-1.5752,-0.0017,0.8385,-89.4,-12.3563,-19.9875,
2.44964,-0.4339,-0.0002,-0.6843,-1.5752,-0.0017,0.8385,-89.4,-12.3563,-19.9875,
2.458357,-0.4009,-0.0882,-0.5426,-1.5752,-0.0017,0.8385,-89.4,-12.3563,-19.9875,
2.460673,-0.4009,-0.0882,-0.5426,-1.5752,-0.0017,0.8385,-89.4,-12.3563,-19.9875,
2.475379,-0.4009,-0.0882,-0.5426,-1.5752,-0.0017,0.8385,-89.3813,-12.2813,-20.4,
2.502725,-0.3249,-0.1739,-0.4111,-1.5752,-0.0017,0.8385,-89.3813,-12.2813,-20.4,
2.503808,-0.2208,-0.237,-0.2682,-1.5752,-0.0017,0.8385,-89.3813,-12.2813,-20.4,
2.518184,-0.2208,-0.237,-0.2682,-4.1214,-1.1353,1.9452,-89.3813,-12.2813,-20.4,
2.519431,-0.2208,-0.237,-0.2682,-4.1214,-1.1353,1.9452,-89.3813,-12.2813,-20.4,
2.519868,-0.0574,-0.2438,0.1903,-4.1214,-1.1353,1.9452,-89.3813,-12.2813,-20.4,
2.556114,0.5814,-0.0476,0.837,-4.1214,-1.1353,1.9452,-89.3813,-12.2813,-20.4,
2.557264,1.4753,0.2428,1.7006,-4.1214,-1.1353,1.9452,-89.3813,-12.2813,-20.4,
